ID	Species	MaxAge	allocSeed	LMR	m0	maxMass	mSeed.x	dist	pEstab	Gmax	SLA	palat	memo	RAR	growth	mThres	clonal	propSex	SpacerLengthmax	SpacerLengthmax.1	Resshare	allocSpacer2	mSpacer	respAnox	salinity
12	Achllmll	200	0.00780663564029425	0.68	0.03	820.9	0.03	16.775	0.5	60	0.168091168091168	1	2	1	0.25	0.2	1	0.1	13.48	13.48	1	0.0101186008106891	7.30769230769231	0	0.66
93	Agrstscp	200	0.174418604651163	0.25	0.055	321.83	0.055	19.25	0.5	46.66	0.313693398799782	1	4	1	0.25	0.2	1	0.1	3.85	3.85	1	0.0343345185370012	2.62088147197261	0	0
78	Agrstsst	5	0.202607076350093	0.62	0.05	1062.31	0.05	24	0.5	46.66	0.7816	0.25	4	1	0.25	0.2	1	0.1	2.235	2.235	1	0.00939795022162075	2.27840923735148	0.2	3.6
50	Alpcrsgn	2	0.940754039497307	0.62	0.21	2544.58	0.21	17.25	0.5	46.66	0.6392	1	4	1	0.25	0.2	1	1	1.215	1.215	1	0	3.2051282051282	0.18	0.84
56	Alpcrspr	200	0.0909090909090909	0.5	0.44	1245.72	0.44	43.925	0.5	60	0.205128205128205	1	2	1	0.25	0.2	1	0.1	9.27	9.27	1	0.0275656580074222	11.5576323987539	0	0
18	Anthxnto	200	0.165919282511211	0.25	0.24	93.88	0.24	16.4	0.5	46.66	0.423834636600594	1	4	1	0.25	0.2	1	0.1	0.82	0.82	1	0	3.50877192982456	0	0.74
77	Astrtrpl	2	0.127145543133251	0.75	0.36	22560.3	0.36	55.75	0.5	40	0.268351821543311	0.5	5	1	0.25	0.2	0	1	0	0	0	0	0	0.27	3.68
76	Atrplxpr	1	0.0617247196586286	0.62	0.44	2290.12	0.44	35.5	0.5	20	0.586591501485119	0.25	8	1	0.25	0.2	0	1	0	0	0	0	0	0	0
2	Blbschnm	200	0.192195285550019	0.75	2.06	4406.1	2.06	59.8	0.5	40	0.150390980178214	0.5	5	1	0.25	0.2	1	0.1	11.38	11.38	1	0.0682262237946876	42.3280423280423	0.775	7.56
105	Clmgrstc	5	0.0960852252159073	0.58	0.08	2270.85	0.08	61.25	0.5	40	0.328605200945627	0.25	5	1	0.25	0.2	1	0.1	33.445	33.445	1	0.0364233151569697	6.25	0.35	0
20	Crxactfr	200	0.38498789346247	0.75	0.665	10768.8	0.665	45.475	0.5	40	0.130447960235194	1	5	1	0.25	0.2	1	0.1	8.47	8.47	1	0.0162609914617051	23.2371794871795	0.67	0
106	Dschmpsc	200	2.42951141411011	0.8	0.095	4398.33	0.095	42.125	0.5	60	0.412666666666667	0.25	2	1	0.25	0.2	0	0.1	0	0	1	0	22.2222222222222	0.27	0
58	Elymsrpn	200	0.164680963727826	0.25	2.64	954.7	2.64	30.875	0.5	60	0.214645086985512	1	2	1	0.25	0.2	1	0.1	2.32	2.32	1	0.0425315923968215	9.66117216117216	0	0
94	Festcrbr	5	0.305369127516779	0.75	0.28	1196.6	0.28	28.5	0.5	60	0.21361459659332	0.25	2	1	0.25	0.2	1	0.1	7.9	7.9	1	0.484239052916845	1.24378109452736	0	12.11
107	Fstcarnd	5	0.501703577512777	0.58	0.9	1978.4	0.9	37.95	0.5	60	0.339334424440807	1	2	1	0.25	0.2	1	0.1	11.78	11.78	1	0.0346819988642817	47.6190476190476	0.17	3.18
68	Galmaprn	2	0.789338471419396	0.5	4.81	2355.3	4.81	37.25	0.5	60	0.37909923016306	0.5	2	1	0.25	0.2	0	1	0	0	0	0	0	0	0
55	Hlcslnts	200	0.220770738079686	0.5	0.11	1807.8	0.11	27.7	0.5	60	0.427471661514215	1	2	1	0.25	0.2	1	0.1	3.395	3.395	1	0.0133827537643374	4.86974423944889	0	0.71
4	Jncsgrrd	200	0.16	0.75	0.04	116.85	0.04	8.45	0.5	20	0.129963023580045	1	8	1	0.25	0.2	1	0.1	6.73	6.73	1	0.174175824175824	10.5450105450105	0.755	7.63
14	Lntdnatm	200	0.190068493150685	1	0.65	2633.25	0.65	18.95	0.5	46.66	0.342789598108747	0.25	4	1	0.25	0.2	1	0.1	1.135	1.135	1	0.0184373802347141	58.9802130898021	0	1.64
3	Lolmprnn	1	1.32311130423987	0.75	1.48	1391.16	1.48	26.975	0.5	60	0.568533333333333	0.25	2	1	0.25	0.2	1	1	2.12	2.12	1	0.00434554127253618	4.60829493087558	0	0.5
90	Phlmprtn	200	0.158413672217353	0.25	0.11	1714.89	0.11	36.9	0.5	60	0.282596835788325	1	2	1	0.25	0.2	1	0.1	4.68	4.68	1	0.00732796507903401	29.6234772978959	0	0
87	Phlrsarn	200	0.0993569598220761	0.25	0.37	3845.2	0.37	62.5	0.5	60	0.282596835788325	0.5	2	1	0.25	0.2	1	0.1	8.15	8.15	1	0.0168635923771048	16.7410714285714	0.86	0
1	Phrgmtsa	200	0.363335463065529	0.5	0.185	26415.64	0.185	98.1	1e-04	60	0.365066666666667	0.5	2	1	0.25	0.2	1	0.1	4.85	4.85	1	0.0767948194629897	41.6666666666667	0.78	0.38
108	Plntglnc	5	0.800434393765172	1	0.65	1854.18	0.65	19.775	0.5	46.66	0.264169242892647	1	4	1	0.25	0.2	1	0.1	2.11	2.11	1	0.0184417279144131	30.7765151515151	0	0
109	Plygnmam	200	1.73806057076296	0.5	0.85	2899.88	0.85	21.5	0.5	40	0.426533333333333	0.5	5	1	0.25	0.2	1	0.1	2	2	1	0	30.3030303030303	0.845	0
5	Ppratnss	200	0.20810647307925	0.25	0.115	490.45	0.115	28.75	0.5	60	0.429229556889131	0.25	2	1	0.25	0.2	1	0.1	33.81	33.81	1	0.164786504169747	5.31914893617021	0	0
95	Ptntllan	200	0.12325875897003	1	2.24	496.8	2.24	2.125	0.5	46.66	0.356731526944293	0.25	4	1	0.25	0.2	1	0.1	0.925	0.925	1	0	4.12837506524731	0	1.13
10	Ptrivils	200	0.688461538461538	0.25	0.11	173.96	0.11	24.5	0.5	46.66	0.482148269382312	1	4	1	0.25	0.2	1	0.1	4.78	4.78	1	0.000863487191215264	0.282805429864253	0	0.88
54	Rnnclsrp	200	0.447245017584994	0.75	1.615	1401.1	1.615	13.9	0.5	46.66	0.308298478511244	0.25	4	1	0.25	0.2	1	0.1	3.995	3.995	1	0	3.21543408360129	0	0.52
88	Rumxacts	200	0.41245766455603	0.65	0.52	2326.4	0.52	35.875	0.5	60	0.287931138994969	1	2	1	0.25	0.2	1	0.1	8.26	8.26	1	0.0567151881351277	83.3333333333333	0	0
84	Trflmrpn	2	0.217235188509874	0.58	0.13	211.2	0.13	7.375	0.5	46.66	0.334485057889313	0.25	4	1	0.25	0.2	1	0.1	26.47	26.47	1	0.146820642527512	6.94444444444444	0	2.44
60	Trglchnm	200	1.61179095882522	1	0.715	3215.04	0.715	19.65	0.5	20	0.252533333333333	0.5	8	1	0.25	0.2	1	0.1	1.945	1.945	1	0.0337424416930608	51.5873015873016	0.38	8.32
82	Urticdic	200	0.439654920937256	0.5	0.15	14701.31	0.15	41	0.5	60	0.453333333333333	0.25	2	1	0.25	0.2	1	0.1	10	10	1	0.00112891943895413	16.9491525423729	0	0
